ID,mediaNumber,hasHeaderVideo,videoLength,textLength
1000002330,0,0,0,132
1000003930,9,1,201,11225
1000004038,16,1,80,12158
1000007540,0,0,0,1967
1000011046,3,1,165,2273
1000014025,15,1,106,4943
1000023410,9,1,329,3434
1000030581,13,1,64,6255
1000034518,18,1,86,9208
100004195,1,0,0,346
100004721,0,1,86,1732
100005484,0,1,453,8186
1000055792,0,1,83,1867
1000056157,0,0,0,2824
1000057089,66,1,131,16028
